plate,reviewer_comments
LS3 HOE,HOE
MACS 10,MAC 10 GUN
MINI TT,TT BREAST
MK65O,650 AREA CODE
NEGRA 14,14 GANG REFERENCE
N93OJF,LOOKS LIKE LEGACY SEQ.
OG CAMEO,OG ORIGINAL GANGSTER
OG FROG,OG ORIGINAL GANGSTER
OQOQ888,LOOKS LIKE ALL DIGITS
OQQQOQQ,LOOKS LIKE ALL DIGITS
OSX4EVA,OH SEX FORVER
P2729O5,LOOK A LIKE
QSMYSS,KISS MY ASS
RB 1 OFF,RUB ONE OFF MASTURBATE
REDCUBN,RED CUBAN
RTRD BUG,RETARD BUG
SEXY A5,LOOKS LIKE SECY AS
SHEBOB,SHE BOB A SEXUAL TERM FELACIOUS ACTS
SNOBUNS,SNOW BUNNY SLANG FOR CAUCASION WOMAN
STEEL18,18 HITLER REFERENCE
SXTNINE,69 SEXUAL REFERENCE
THAT DC5,LOOKS LIKE THAT DICK CUSTOMER INITIALS ARE D.C.
TRAMP 1,TRAMP
TRK YEAA,TRUCK YEAH FUCK YEAH
TROY FTW,FUCK THE WORLD
USCJO13,13 GANG REFERENCE
VTEC 13,13 GANG REFERENCE
WETSU 62,WE EAT THIS SHIT UP
YOGA 88,88 HITLER REFERENCE
ZEROFKG,O FUCKS GIVEN
1 SLW G,G AS IN GANGSTER
1ST MSLE,1ST MISSILE
2BIG 4UA,TOO BIG FOR YOU AYE?
2LTRFTW,2 LITER FUCK THE WORLD
4335OR1,LOOKS LIKE A COMMERCIAL
9549OY1,LOOKS LIKE A COMMERCIAL
MAKE $,MAKE LOVE
MACS668,668 AREA CODE
NMRK88,88 HITLER REFERENCE
DRF4LFE,DWARF FOR LIFE
JST 1 PMP,JUST ONE PIMP JUST ONE PUMP
TATA X2,TATA TIME 2 BREAST
MTRBUKR,MOTHER FUCKER MUTTER BUCKER
POP BOB,SHOOT BOB
SNO BNZ,SNOW BUNNIES OR SNO BENZ
G RTRANS,G AS IN GANGSTER
HEL BOND,HELL BOUND
MYOC 714,714 AREA CODE
ND 18,18 HITLER REFERENCE
VADER 18,18 HITLER REFERENCE
714 RT78,714 AREA CODE
3900 MK,LOOK A LIKE BOAT
BK $ MI,BK BLOOD KILLER
B&S GOD,LOOKS BULL SHIT GOD
AGRCSUC,suck
BDAZ GZO,bad ass
BLACBTE,"urban dictionary says back betty=heroin. This is a song, some of these are out, I found 1 unacceptable"
BLSMBIL,balls
CCBOOM,boom as in explosion
DAA BAUM,"the bomb, last name is Baum"
DTH BELO,death below
EVIL RD,"evil red, red=gang color"
FIA TEO,"fuck it all, try everything once"
GFK 1982,GFK=Ghostface Killah from Wu-Tang Clan (urban dictionary 41 up 12 down)
GOT ITBS,b.s.=bull shit
HAIL53O,"530is area code for woodland, ca"
HODIS BZ,bz=beezy=bitch
ILUVTTZ,"I love titties or tt=penis in Tagalog, no Audi has Nissan"
IS JUICY,"juicy, sexual connotations"
LVSPINK,loves pink=loves pussy
MY CRSTY,"crusty=dirty, trashy, slutty. Or maybe it's Christy?"
OO DANGG,dang=euphemism for damn. Is customer last name
O456 FKR,fucker
PORKYYY,insulting
RICH MEX,"insulting, implies all other Mexican people are poor?"
SSTHIZ,thizz=Bay Area slang for ecstacy (drug)
SVDBY8 8,"88=hate symbol, no 1988 car"
THBAGMN,mafia- person who collects or carries or distributes illegal payoff money (dictionary.com) Baghdasarian is last name
TTWERK,tt=penis in Tagalog and twerk is a sexual dance
USA GOV,could be misconstrued as a government car
WETC6,wet can have sexual connotations
187CADI,187=murder
619SAND,619=san diego area code
65 ZERO,650 is Bay Area area code and the customer's area code. No 1965 vehicle on ani either
TISHAF,af=as fuck. Her meaning is true though
F$HADA,F+heart=fart or F=eff=fuck. Customer last name is Ferreira
$4SLAYR,"pulled for slayer, but it is a band"
DOMECEO,"do me or Dome, it IS a local business"
DOMECFO,"do me or Dome, it IS a local business"
DOMECOO,"do me or Dome, it IS a local business"
DOMECSO,"do me or Dome, it IS a local business"
M16LUV,m-16 is a rifle
FRCALL,FRICK ALL (FUCK ALL)  F/F PLATE
AY GUAY,urban dictionary says a disrespectful way of saying 'dude' in Spanish. Means like 'jackass' in slang. Like buey or way
CDR CYBR,COMMANDER CYBER? CYBER CAN MEAN SEX- URBAN DICTIONARY
FANCYAF,fancy as fuck
FARACDA,no plymouth (Baracuda) cuda is slang for pussy
MMFC58,Michael Motherfucking Canfield
SO SWAT,law enforcement… cop
STANC4D,stank Ford (stank=whorish and trashy) but has a subaru and porsche on ani… not out with an A
SWAMI GS,Swami G's. pulled for G=gangster
SWPNAVI,SWP=SUPREME WHITE POWER=HATE SYMBOL
1CAT WGN,cat=pussy
18GSNRG,18=hate symbol
GRKCAPO,capo=captain in the mafia
OG KAT,OG
PAPPOO1,"poo, in order #122 we denied customer's request for PAPPOO2"
SUPAH B,super bitch or super balls. Balsz is last name
AMFGENG,ADIOS MOTHER FUCKER GANG
ANALE5O,ANAL…CUSTOMERS NAME IS ANALE
BCHNART,BITCHIN ART
BLZN 51,BLAZIN… NO CHEVY ON RECORD. HAS A '51 VEHICLE.
BLZN 69,SAME AS ABOVE. HAS A '69 VEHICLE
BOSS SHT,BOSS SHIT
CLEON18,18-HITLER
DAS88VW,88-HITLER. NO '88 VEHICLE
DKYND69,SEXUAL 69
GNGRFCK,GINGER FUCK
JAYS 69,NO '69 VEHICLE
KHLOE13,13-GANG
MRDR PNY,MURDER PONY
MSKK53O,530 AREA CODE. LIVES IN BALDWIN PARK
N THE8O5,805 IS THEIR AREA CODE
RED1969,COULDN’T VERIFY '69 CAR.
ROB DMAN,"ROB THE MAN, ROB IS THE MAN. CUSTOMER'S NAME IS ROBERT"
1ROCN88,ONE ROCKIN 88.. NO '88 REGISTERED
14 RHINO,14-HITLER
415LARK,415 AREA CODE
18 HORSE,18-HITLER
IMNUDY,IM NUDE-Y. CUSTOMERS LAST NAME IS NUTI
COPP 17,COPP… CUSTOMER'S LAST NAME
ITLNNGR,ITALIAN NIGGER
JSKRR69,NO '69 VEHICLE
LALA8O5,CUSTOMERS AREA CODE
LMAO OIL,LAUGH MY ASS OFF
MFRLKME,MOTHER FUCKER LIKE ME
WEENR MA,WEENER… PENIS
CNG KLR,KILLER
PHCK IT,FUCK IT
POBOB45,POOR BOB.. B.O.B.
TINKR14,14-HITLER
FULMTAL,FULL METAL AS IN GUN
OBUM,BUM
6 JEFES 5,JEFE BOSS
88ZB5O,88 HITLER REFERENCE
RGBY13,13 GANG REFERENCE
DABLABS,"DAB AS DRUGS, VAPE, OIL"
G SANCHZ,G AS IN GANGSTER.CUSTOMER MIDDLE NAME STARTS WITH A G
WVASEXY,SEXY
ANTHRXX,ANTHRAX THE WHITE PWODER THAT CAN KILL OR THE BAND?
BAMFNYC,BAMF-BAD ASS MOTHER FUCKER
BDASS 26,BAD ASS
CARPORN,PORN?
DDDNUTS,NUTS-BALLS?
ERYKITA,KITTY-VAGINA? COULDN'T FIND HIS LATIN WORD BUT GOOGLE IMAGE SHOWS SCANTLY CLAD WOMEN.
FN A BRO,FUCKEN A BRO
FN NOOBS,FN-FUCKEN OR FUN?
F 1978,F-FUCK? F IS NOT HIS INITIALS
HERS 69,"""HER 69"" MARKED UNACCEPTABLE. SHE DOES HAVE A 69 MGB"
H8PVMNT,HATE?
KARR 666,666-DEVIL
KILLS49,KILL-? DOES HAVE A 49 CAR
LIKETNA,"""TINA"" IS SLANG FOR CRYSTAL METH. NOT THE PERSONS NAME"
LTEUMUP,LIGHT EM UP- JOINT?
MARTN13,13-GANG NUMBER
M69 JAG,NO 69 CAR
OMGDTRD,OMFG=OH MY FUCKING GOD
PSI4FUN,PSI-PUSSY?
1KOOL B,B-BITCH?
6MOUSE9,PULL FOR 69? NO 69 CAR
7SATAN9,SATAN?
88LAL88,88-HITLER RELATED
9OSBANG,BANG CAN BE USED SEXUAL.
# PHIRT,HAND FART?
IDFW$,I DON'T FUCK WITH
KAR $18,18 HITLER RLEATED IN PRISON
$MYMFFN,MUFFIN CAN BE SLANG FOR VAGINA
ART BX,BOX-SLANG FOR VAGINA
TDB4ME,"URBAN DICTIONARY SAYS ""TO DAMN BAD"" 25 UP 12 DOWN"
DAM 4WD,DAMN? IT IS HIS INTIALS DAM
FISH BYT,"""FISHBIT"" IS MARKED UNACCEPTABLE"
JTANG88,88-HITLER RELATED
LLOYDIE,DIE STAND OUT? HIS NAME IS LLOYD
MJRSTFY,MAJOR STIFFY
RED LGND,RED-GANG COLOR
RZR BOXX,BOX-SLANG FOR VAGINA
14 4SIX5,14-HITLER RELATED
8LUCK88,88-HITLER RELATED
MNKYSCE,MONKEY CAN BE SLANG FOR VAGINA AND A RACIAL SLUR TOWARDS AFRICAN AMERICANS
OG KING,OG-ORIGINAL GANGSTER
OG MOTOR,OG-ORIGINAL GANGSTER
SKRUGAS,SCREW GAS
SLPFSHS,SLEEP WITH FISHES-FROM GODFATHER WHEN YOUR KILLED AND YOUR BODY IS DUMPED IN THE WATER
CAFÉ 65O,"650 BAY AREA, AREA CODE. (NOT CUSTOMER'S)"
GT 323,CUSTOMER'S AREA CODE
2O69 VET,69-SEXUAL. 2069 DOESN'T MAKE SENSE AS A CAR YEAR.
PULLS 5&,"PULLS 5 STARS.. ONLY GETS OR HAS SEX WITH ""5 STAR"" PEOPLE"
CHZYBNR,CHEESY BEANER
DJ GHADI,"GHADI IS AN ARABIC BOYS NAME MEANING EARLY RISER OR TO BE EARLY AND ON TIME… OR GHAD WITH AN ""I"" AT THE END"
FCKNVAN,FUCKIN VAN
FYRKLLR,PUTS OUT FIRES. OR KILLS BY FIRE. ON LEGACY PLATE
MOPAR G,"G. GANGSTA. MOPAR IS A PARTS, SERVICE AND CUSTOMER ORGANIZATION FOR CARS."
RETRO KL,RETRO KILL
U S WMD,WEAPONS OF MASS DESTRUCTION
WACSROD,WACKS ROD…SEXUAL?
XL STUFT,EXTRA LARGE STUFFED. THE ONLY THING THAT SHOWS ON GOOGLE IS TACO BELL BURRITOS
HOLE18,"18-HITLER. 18 HOLES, GOLF."
AS714,714. SO CAL AREA CODE. CUSTOMER LIVES IN SAN JOSE
A 7O7CAT,707 IS NOR CAL AREA CODE. NOT CUSTOMERS AREA CODE
CASH F,"CASH FUCK. LAST NAME STARTS WITH ""F"""
EAT GUTS,???
F XIONG,FUCK XIONG? FIRST NAME IS FONG
SAMBO 3,SAMBO AND SAMBO2 ARE MARKED UNACCEPTABLE. CUSTOMER'S NAME IS SAMUEL BOUCHER.
2FNKDUP,TOO FUNKED UP..TOO FUCKED UP
BFU,BITCH FUCK YOU
BOTUM B,"BOTTOM BITCH, AS IN MAIN PROSTITUTE"
C14WPNS,WEAPONS
DAB BUS,DAB AS IN DRUGS
EDS KAT,CAT
EFNGRLX,FUCKIN GIRL
FITETRK,"FIGHT, CUSTOMER LAST NAME IS FITE"
FTW,FUCK THE WORLD
HLL1CAT,HELL CAT
JP O13,13 GANG REFERENCE
PORNICK,PORN NICK
U88,88 HITLER REFERENCE
1HLKAAT,HELL CAT
73SHTBX,SHIT BOX
FKY$ECA,LOOK LIKE FUCK YOU ECA
OIL UP $,OIL UP LOVE
BGZ&PNY,BG LOOKS LIKE BABY GANGSTERZ
DRK DK,DARK DICK
K TRAXHO,TRACKS HOE
YOTEKIL,KILL
13B30,13 GANG REFERENCE
BBOOP14,14 GANG REFERENCE
BLUBRCH,BLUE
EEHEE14,14 GANG REFERENCE
JOY 8888,88 HITLER REFERENCE
MPMS9 88,88 HITLER REFERENCE
OWNDSLV,OWNED SLAVE
REDUN 69,69 SEXUAL REFERENCE
SHPDG69,69 SEXUAL REFERENCE
SIXSIX1,661 AREA CODE
SMASHHH,SMASH SEXUAL REFERENCE
SWMR815,815 AREA CODE
1MOBMRS,MOB MRS
GHST666,666 DEVIL
DSLXIK,DISLEXIC
BAMF 69,BADASS MOTHER FUCKER
BSHBG13,13-GANG
ES323AV,323 WEST COVINA/CUSTOMERS AREA CODE
HLCAMNO,HELL CAMINO
ND2POOP,NEED TO POOP. POOP IS CURRENTLY REGISTERED
REVA 13,13-GANG
STEALFK,STEAL FUCK. COULDN'T VERIFY RACE HORSE NAME.
WAGNMFA,"WAGON MAFIA, WAGON MF'A"
18SE7EN,18-HITLER
13GLYDE,13-GANG
RED1# H5,RED-GANG
S$SET88,88-HITLER
$URH8RS,LOVE YOUR HATERS
BUCK4D,"BUCK(THE MOTION) OR DOLLAR FOR D, DICK?"
PISSY1,PISSY
BAMF4X,BADASS MOTHER FUCKER. CUSTOMERS INITIALS ARE KJG
JS 424,424 WEST LA AREA CODE
AJCHA 14,14-HITLER
COX FML,FUCK MY LIFE
M5 KILLA,KILLA
TOOKEY,"MANY MEANINGS ON URBAN. ""TOOKEY"" WILLIAMS WAS ONE OF THE FOUNDERS OF THE CRIPS"
1DNTFWU,I DON’T FUCK WITH YOU
VICLITA,CLIT. COULDN’T FIND SPELLING
TRFL BTR,URBAN DICTIONARY SAYS-SEXUAL PUTTING DICK IN ASS THEN PUSSY. 23879 UP 12915 DOWN
QC8I88,88-HITLER RELATED
SU C QS,SUCK?
3 FINGR,SEXUAL?
88 ALPHA,88 HITLER RELATED
BRYTBLU,BLUE- GANG COLOR
BLMOONN,BLUE-GANG COLOR
BRN BALS,BROWN BALLS?
DOPEFED,"DOPE-DRUGS, FED- FEDERAL GOVERNEMNT?"
FXGVN N1,"PHRASE POPULAR RIGHT NOW ZERO FUCKS GIVEN.   ""FUCKS GIVEN NONE"""
H8URGTZ,HATE YOUR GUTS
KTYMYHM,KITTY CAN BE SLANG FOR PUSSY.  HER NAME IS SUSAN
M88SE,88-HITLER RELATED
NPY CHK,NAPPY-OFFENSIVE
OFFTHEJ,URBAN DICTIONARY SAYS IT MEANS-TAKE THE DAY OFF TO JACK OFF. ALL THE MEANINGS SAY THAT. 46 UP AND 21 DOWN
RAIZO 13,13-GANG NUMBER
TRACK13,13-GANG NUMBER
TRAQ KLR,KILLER?
VANDAMN,DAMN?
6JEO D9,"""JEO"" IS EATEN IN BOSNIA. NO 69 CAR"
69 SLAB,NO 69 CAR
805 TACO,805 IS PASO ROBLES AREA CODE. TACO IS SLANG FOR VAGINA
D#KIKE,KIKE IS RACIST SLANG TOWARDS JEWISH PEOPLE.
I$PNIS,I love penis
$TAPPED,TAPPED MEANS TO HAVE SEX
6PAC18,18-HITLER RELATED
EKCANSR,FUCK CANCER?
FXCANCR,FUCK CANCER?
MJAY53O,530 YOLO COUNTY AREA CODE
MS DAANG,DANG /DAMN?
QNN B,BEE OR BITCH?
ZMBKLR2,KILLER-?
ZMBKLR3,KILLER-?
1FCNBG,FCN-FUCKEN?
EFE D,"""EF"" MEANS FUCK"
HEAD PMP,PMP-PIMP?
1CHRYBM,CHERRY-VIRGIN.  OR BOMB EXPLOSIVE
BONEZ69,NO 69 VERIFIED
BS BEAST,BULLSHIT BEAST
CHILL AF,CHILL AS FUCK
CLSSY AF,CLASSY AS FUCK
DR VATO,"VATO, GANG RELATION"
EFFGASS,EFF..FUCK.
ELLIE14,14-HITLER. COULDN'T VERIFY 2014 VEHICLE
EVIL5OH,EVIL POLICE
FKN VIPR,FUCKIN VIPER
F3CK EM,FUCK EM
GALXY69,COULDN'T VERIFY 69 VEHCILE.
H4NDJO8,HAND JOB
LOL 5OH,LAUGH OUT LOUD POLICE
LSXKILA,KILLA
MIWOK88,88-HITLER
M NEGRO,NEGRO-BLACK IN SPANISH… COULD BE READ AS NEEGRO.. CUSTOMER HAS ANOTHER MONTENEGRO STYLE PLATE
MURDR C6,MURDER
MY14 RS,14-HITLER. COULDN'T VERIFY 2014 VEHICLE
NABA 14,14-HITLER.
NB RED,RED-GANG
SHIRO69,COULDN'T VERIFY 69 VEHCILE.
TY LIL B,THANK YOU LITTLE BITCH?
14CHEVY,14-HITLER. COULDN'T VERIFY 2014 VEHICLE
5 OH FOX,POLICE FOX…POLICE HOTTIE?
51OAGNT,"510, CUSTOMER'S AREA CODE"
88TILLX,88-HITLER
BEVBOX,BOX… BEV'S BOX?
RUTKILR,RUT KILLER.. KILLS THE RUT THAT YOU'RE STUCK IN? PULLED FOR KILLER
RUT KLR,SAME AS ABOVE
BEAST AF,BEAST AS FUCK
FKT LST,FUCK IT LIST?
FUKA HR,FUCKA. NOTHING FOUND FOR A ROAD IN JAPAN
FUKIM L8,FUCK I'M LATE
IMBA AF,I'M BAD AS FUCK
LSX ETR,CAR EATER…SAYING HIS CAR IS BETTER THAN ANOTHER..
REPN415,415 IS CUSTOMER'S WALNUT CREEK AREA CODE
SHIKSSA,"DICTIONARY.COM SAYS ""OFTEN USED WITH DISPARAGING INTENT"" ABOUT A NON JEWISH GIRL."
SHT KCR,SHIT KICKER
SZRSSUK,PULLING FOR SUCK
WTF KAT,WHAT THE FUCK
13DUCKS,13-GANG. OWNS A 2013 TOYOTA
14SS4SS,14-HITLER. SS-HITLER'S ARMY. NO VEHICLE INFORMATION FOR CUSTOMER. SMITH IS CUSTOMER'S LAST NAME.
EVL BCH,EVIL BITCH
FHL13 13,"13-GANG. AFTER RESEARCH... ""1 CORINTHIANS 13:13 -THREE THINGS WILL LAST FOREVER-FAITH, HOPE, AND LOVE—AND THE GREATEST OF THESE IS LOVE."""
P85NKLA,KILLA. COULDN'T VERIFY CUSTOMER OWNS A TESLA.
SUKHV1R,SUKHVIR IS MARKED UNACCPTABLE
H8EMAIL,HATE
LADERL G,G AS IN GANGSTER
$V TRIGG,TRIGG AS IN TRIGGER
CNK 88,88 HITLER REFERENCE
BLD SXY,BOLS AND SEXY
JNBKOON,COON
KING 626,626 AREA CODE
SATNKTY,SATIN KITTY
OGTHUGN,ORIGINAL GANGSTER THUGGIN
BLU MJK,blue magic is slang for heroin
BUD 1965,bud can mean marijuana
CANABCH,cannabeach is a medical marijuana delivery service
DAB BUG,"dabs=bho=butane hash oil, smokable marijuana oil"
DZ55NTZ,these nuts
EAD EPA,"EAD= EAT A DICK, EPA"
FK TBIRD,it is his initials but reads like 'fuck tbird'
G8A,"G ate A, his name is Gal Asher though, so it's his initials without the 8"
LOSR KDS,loser kids or lose your kids
LRTD8O5,805 area code for Santa Barbara
OG HOZER,original gangster
PHUQAUF,FUCK OFF
PLUR AF,AF=AS FUCK
PSYC OP,"psychological operations, CIA"
QUIK ATK,ATTACK
SCHWEED,weed=marijuana
SK LAST1,SUCK? Name is Scott Klein
69L46C3,"no 69 on ani, L46 is a corvette"
8SHARK8,"NO 1988 CAR, 88=HATE SYMBOL"
86M 88M,"no 1988  car, 88=hate symbol"
916STYL,"area code, they live in Roseville"
AD$XXMF,MF=motherfucker
BO$B1ES,BOOBIES
$ DAMQ,pulled for dam (damn) but its probably her initials
I$ RMFT,RMFT=Roll MotherFucking Tide (University of Alabama slogan is Roll Tide but this is also common and on Google and Urban Dictionary)
XXMF$AD,"MF=motherfucker, see AD$XXMF they live at same address…"
BRZZRZ,"Urban Dictionary says brazzer is an Irish word for prostitute, Google search shows its also the name of a porn site"
HB1C 2,"HBIC=head bitch in charge (order 165 'HB1C 1' was also pulled for review, same customer)"
RDTANG,red?
7DKHIM,dick him
GORRLA,"as in guerrilla, meaning soldiers… vet plate (no jeep on ani)"
KAJOBX,no box car
BLWN CT,"blown has sexual connotations, does have a mustang"
BL8ZE 1T,"blaze it has drug connotation, no chevy blazer"
BOHO GYP,"gyp can be offensive, meaning to swindle and short for gypsy. Ani shows a few cars, one is a jeep maybe that is meaning?"
BONE O2,bone can mean sex
BULTAKO,taco=female anatomy… google says Bultaco is a type of motorcycle made in Spain. Ani doesn’t show one
DJ996C4,"C4 is an explosive, no corvette on ani"
KKIN GAS,kicking ass? Has 2 hybrids according to ani
KWAFNST,effin
MY PINKS,pink=pussy
SMASS1O,ASS
SMRTACS,sounds like smart ass
U LELIJK,google search brought up Urdu slang 'ah-lele'=ah fuck me
VW 666,666
WOODYYZ,no woody car has 2015 chevy p/y but his last name is Woodard
2O9 NERD,stockton area code
8 UILANI,ate you Ilani
BOMBER5,bomb
ILLEGAL,illegal could be a term of contempt…
PUSSMAG,pussy magnet
WTF KTM,WHAT THE FUCK
1BATASS,Batas is a city in Iraq (with one S) this looks like 'bad ass'
JANADAM,damn or Jan and Adam
88 RCKET,88-HITLER RELATED
8LJY88,88-HITLER RELATED
805SLO,805-TEMPLETON AREA CODE OR CAN BE PULLED FOR LOOK A LIKE
J41RED,RED-GANG COLOR
ALING88,88-HITLER RELATED
DAGOLIFE,DAGO-RACIAL SLUR TOWARDS ITALIANS
FDGNEMO,"FUDGE CAN BE SLANG FOR ""FUCK"""
FTW S2K,FTW-FUCK THE WORLD
JSBLAZN,BLAZING CAN BE SLAND FOR LIGHT UP A JOINT
NKKBRKR,NECK BREAKER?
LICKBLZ,LICK BALLS
R13SEGS,13-GANG NUMBER
SMOK ONE,Joint?
SSMOKN1,SMOKING 1-JOINT?
UFKNWOT,YOU FUCKEN WHAT
DNSK14,14-HITLER RLEATED
HB1C 1,HBIC-HEAD BITCH IN CHARGE
GRMRNZI,"I SEE ""GERMAN NAZI"""
PEBLE14,14-HITLER RLEATED
RED ON U,GANG COLOR. WHAT HE SAYS IS TRUE
RH18CH,"REICH ALONG WITH 18 HITLER RELATED. HITLER SIGNED A AGREEMENT ON 18,JUNE 1938 WITH GERMANY"
13TERAN,13-GANG NUMBER
PDBLULN,PD-POLICE DEPT. BLUE LINE
FU RN8UR,FU-FUCK YOU
CHUBS69,NO '69 VEHICLE VERIFIED
D V P,"CUSTOMER'S INITIALS. FIRST THING THAT COMES UP ON GOOGLE IS URBAN DICTIONARY THAT SAYS ""DOUBLE VAGINAL PENETRATION"""
FILS 442,442 AREA CODE. ON OF THE AREA CODES THAT RUNFROM KERN COUNTY DOWN TO SAN DIEGO COUNTY
JARA 69,NO '69 VEHICLE VERIFIED
MB MFIA,MB MAFIA
MTNBUCK,"MOUTING BUCK, OWNERS LAST NAME IS BUCK"
SPQR18,18-HITLER
TECNO G,"G-GANGSTER. CUSTOMERS FIRST NAME STARTS WITH ""G"""
TTE9OTT,TT..CUSTOMERS NAME IS NOT IN PLATE CONFIGURATION
5IV OOH,POLICE
65O BOYS,CUSTOMERS SAN MATEO AREA CODE
916 CHIC,CUSTOMERS'S AREA CODE
SKA69,NO '69 VEHICLE VERIFIED
DTRTBLU,BLUE.. DETROIT BLUE..LIONS?
FC VERT,FUCK VERT.. FC VERT COMES UP AS A STYLE OF CAR
G FOLKS,G-GANGSTER.
N8 BOMB,NATE BOMB IS A NICKNAME.. PULLED FOR BOMB
REDRUM 8,MURDER
R88DERR,88-HITLER
SMD STI,SUCK MY DICK
11 ASUL,BLUE IN SPANISH. AZUL
BLUE RK,BLUE
NEVR THE,NEVER HATE
KWEEN BE,QUEEN B
BLZ BIRD,BLUES OR BALL?
BUULITT,"BULLET? HE DOES HAVE A 2008 FORD SO IT COULD BE A REMAKE OF THE OLD ""BULLET"" CAR"
CHRY BM1,"CHERRY CAN BE SEXUAL AND BOMB IS A EXPLOSIVE. ""CHRYBMB"" IS CURRENT LEGACY PLATE"
NAZ64,NAZ-NAZI? NO 64 CAR
1 BLOPAL,BLOW LIKE BLOWJOB?
144SNUF,"SNUF IS A MOBSTER TERM TO KILL SOMEONE. ""SNUF"" IS CURRENT"
AF MUNS,AF-IS SLANG FOR AS FUCK. THIS IS A VET PLATE SO CAN BE AIR FORCE. MUNS IS NOT LAST NAME
BADFMAT,BAD FUCKING MATT. HIS NAME IS MATTHEW
BASSCDT,BAD ASS CADET
CNOTT69,NO 69 CAR ON RECORD
DBLNUTS,NUTS CAN BE BALLS OR TO CUM PER URBAN DICTIONARY
DETH NGL,DEATH? IT IS A BAND IN CONCORD
ELSV619,619 SAN DIEGO AREA CODE
FKNA USA,FUCKEN USA
FSKYNET,FUCK SKYNET- FROM TERMINATOR MOVIE
HALOS13,13-GANG NUMBER NO 2013 CAR
KPTHWDY,KEEP THE WOODY- WOODY IS A HARD ON
1BAADMF,MF- MOTHER FUCKER
3FST5ME,FIST?
4QIDGAF,IDGAF-I DON'T GIVE A FUCK
626F8FL,626 IS HACIENDA HGTS AREA CODE WHERE THEY LIVE
8O5 DUCE,805 GOLETA AREA CODE WHERE THEY LIVE
MNKY $3,MONKEY HAS 2 MEANINGS-CAN BE SLANG FOR VAGINA OR RACIAL SLUR TOWARDS AFRICAN AMERICANS
EG OKI,VET PLATE. OKI- LIKE OKIE RACIAL SLUR
BLKUBR,RACIAL? GOOGLE SAYS IT MEANS A HIGHER CLASS UBER CAR LIKE SUV
DRNX PNK,DRINK PINK- PINK CAN BE SLANG FOR VAGINA
DRT KILR,KILLER?
FMLD,"URBAN DICTIONARY SAYS ""FUCK MY LIFE DUDE"". GOOGLE DID NOT SHOW A DISEASE WITH THOSE INTIALS"
KIL MODE,KILL MODE?
REDS 328,RED-GANG COLOR
TAJMOHO,HO-WHORE.  NO MOTORHOME ON RECORD
13 SUNNY,13-GANG NUMBER NO 2013 CAR
88 TUNER,88-HITLER RELATED. WHAT HE SAYS IS TRUE
LVBLOJB,LOVE BLOW JOB
SICSHIT,SICK SHIT
AYMHYER,AIM HIGHER
BEATNGQ,LOOKS LIKE BEATING YOU
BLUE LS3,BLUE
BSANDKC,BS BULLSHIT
BSMOKEY,BE SMOKEY
BUKRAZY,BITCH YOU CRAZY
BYE BTCH,BYE BITCH
B 1 NU,BE ONE IN YOU SEXUAL CONNOTATION
CATSGTO,CATS
CTD FTW,FUCK THE WORLD
DAN N 69,69 SEXUAL REFERENCE
DR KLLEN,DR KILLEN(KELLEN IS THE CUSTOMER NAME)
DRTBAGJ,DIRT BAG J OR DR T BAG J
DUK BUDR,DUCK BUTTER
EAZTLOZ,EAST LOS (GANG REFERENCE)
EVIL WAR,WAR
EWE JUBU,JUBU IS SHORT FOR A JEW WHO PRACTICES BUDHISM
FN SIKK,FUCKING SICK
F32 BMR,F32 BOMBER
GO 4 PYRO,PYRO  FIRE
GP323,323 AREA CODE
HELCCAT,HELL CAT
HOSTILE,HOSTILE
KOPPERZ,COPS
LUKY CAT,CAT
MEHRPOO,POO
MRSUCIO,SEXUAL REFERENCE
NWMOCAT,CAT
O2ROUF,420 SPELLED BACKWARDS
PHUK WRK,FUCK WORK
REG RIOT,RIOT
SCAT2NV,SHIT TO ENVY SCAT MEANS FECES
TL 408,408 AREA CODE
TOROJO,ROJO MEANS RED
TRUCK 14,14 GANG REFERENCE
XKR KAT,KAT
ZAYUM,SLANG FOR DAMN
13CLS63,13 GANG REFERENCE
52 GNNR,GUNNER
55SMOKR,SMOKER
6SATAN6,SATAN
6T5 L886T5,88 HITLER REFERENCE
707 GATO,707 AREA CODE GATO MEANS CAT
774RW 18,18 HITLER REFERENCE
911 BE16,911
911 MK5,911
911 MK7,911
OGKSH,OG ORIGINAL GANGSTER KUSH AS IN WEED
SEXY GL,SEXY
KXKXKX,KKK XXX.. KKK KLU KLUTZ KLAN XXX PORN
BLUE POP,BLUE
CUZTRUK,CUZ AS IN CRIP
DEVIL 14,14 GANG REFERENCE
FF14 NRD,14 GANG REFERENCE
FKSGVNO,NO FUCKS GIVEN
F MODE,FUCK MODE
HMB BAMF,BAD ASS MOTHER FUCKER
KAT KARE,KAT
OG WIZZ,ORIGINAL GANGSTER
PINK ELE,PINK SLANG FOR VAGINA
4UB,FOR YOU BITCH
KAWTURD,LOOKS LIKE COW TURD
GYPSEA G,G AS IN GANGSTER
911 BAY B,911
CUMS59,CUMS SEXUAL REFERENCE
ELIZA69,69 SEXUAL REFERENCE
FITZ 69,69 SEXUAL REFERENCE
MY 62POS,POS PIECE OF SHIT
2VIOLNT,VIOLENT
COLTM45,COLT 45 GUN
88TQN88,HITLER REFERENCE
COMA RED,RED-GANG
FOCKER8,FOCKER…FUCKER
H8S H2O,HATES
